Episode,Reward,Steps,Exploration Rate
1,616.0,138,0.9999655005908009
2,808.0,317,0.9999207531302815
3,241.0,359,0.9999102540161802
4,243.0,390,0.9999025047407702
5,897.0,1264,0.999684049883209
6,240.0,1300,0.9996750527661213
7,241.0,1335,0.9996663056465837
8,634.0,1501,0.9996248203505338
9,252.0,1531,0.9996173231915573
10,802.0,1737,0.9995658442185655
11,251.0,1770,0.9995575978333352
12,757.0,1932,0.9995171165653085
13,1324.0,2205,0.999448901841421
14,1007.0,2574,0.9993567069212449
15,957.0,3143,0.999214558522441
16,809.0,3317,0.9991710936290753
17,632.0,3409,0.9991481129553248
18,637.0,3562,0.9991098962661208
19,750.0,3680,0.999080422955226
20,593.0,3862,0.9990349658244506
21,698.0,4315,0.9989218315067651
22,604.0,4394,0.998902102992944
23,617.0,4492,0.9988776301881513
24,720.0,4650,0.9988381752960607
25,640.0,4786,0.9988042153711728
26,582.0,4922,0.9987702566009029
27,636.0,5080,0.9987308059499859
28,238.0,5116,0.998721817412056
29,223.0,5162,0.9987103321757588
30,232.0,5204,0.9986998457710125
31,237.0,5239,0.9986911071844997
32,623.0,5461,0.998635681359196
33,760.0,5646,0.9985894955212091
34,697.0,6032,0.9984931362722413
35,618.0,6139,0.9984664269347425
36,626.0,6225,0.9984449601346459
37,218.0,6272,0.99843322847382
38,770.0,6637,0.9983421255869536
39,615.0,6725,0.9983201622990393
40,600.0,6831,0.9982937071619576
41,731.0,7041,0.9982412981115234
42,931.0,7751,0.9980641259834288
43,1404.0,8041,0.9979917689482138
44,604.0,8150,0.997964574039639
45,616.0,8257,0.9979378788409925
46,784.0,8554,0.997863784694995
47,905.0,9501,0.9976275683776177
48,229.0,9539,0.99761809095955
49,246.0,9569,0.9976106088509894
50,716.0,10204,0.9974522507170269
51,235.0,10241,0.9974430243252254
52,608.0,10346,0.997416841786208
53,245.0,10381,0.9974081144259329
54,244.0,10411,0.9974006338921905
55,235.0,10451,0.9973906599344734
56,246.0,10485,0.9973821821488336
57,242.0,10518,0.9973739537787434
58,240.0,10554,0.9973649774524296
59,636.0,10712,0.9973255823089496
60,620.0,10805,0.9973023947558156
61,1430.0,11744,0.9970683054666586
62,229.0,11786,0.9970578363031042
63,247.0,11820,0.9970493613464537
64,235.0,11854,0.99704088646184
65,972.0,12391,0.9969070426905469
66,632.0,12482,0.9968843633104668
67,635.0,12567,0.9968631797401718
68,245.0,12603,0.9968542080108042
69,638.0,12751,0.9968173250828308
70,790.0,14183,0.9964605283062351
71,600.0,14271,0.9964386064130109
72,232.0,14307,0.9964296385047865
73,714.0,14516,0.9963775764097936
74,218.0,14558,0.9963671144988572
75,239.0,14595,0.9963578981445205
76,1099.0,14971,0.9962642448921469
77,583.0,15134,0.9962236479462555
78,636.0,15293,0.9961840488383318
79,241.0,15327,0.9961755813088444
80,248.0,15357,0.9961681100190669
81,248.0,15389,0.9961601407050669
82,614.0,15486,0.9961359841115317
83,804.0,15686,0.9960861785512426
84,646.0,15796,0.9960587865545463
85,604.0,15876,0.9960388655755326
86,808.0,16053,0.9959947918253543
87,623.0,16154,0.9959696432712154
88,251.0,16183,0.9959624225165734
89,624.0,16861,0.9957936211711514
90,595.0,16977,0.995764743571251
91,637.0,17130,0.9957266562934669
92,620.0,17228,0.9957022612861752
93,595.0,17326,0.9956778668765536
94,615.0,17403,0.9956587002596968
95,246.0,17437,0.9956502371956539
96,799.0,18804,0.9953100318204238
97,748.0,19085,0.9952401137378404
98,247.0,19116,0.995232400655882
99,1369.0,20328,0.9949308908817897
100,615.0,20395,0.9949142259268513
101,795.0,20639,0.9948535380024758
102,928.0,21474,0.9946458839750755
103,235.0,21514,0.9946359375647229
104,250.0,21546,0.9946279805080551
105,964.0,22090,0.9944927202836826
106,242.0,22123,0.9944845157515573
107,687.0,22906,0.9942898644353589
108,237.0,22942,0.9942809158657278
109,649.0,23035,0.9942577991002745
110,1023.0,23296,0.9941929258872766
111,629.0,23487,0.9941454543025172
112,244.0,23519,0.9941375011697001
113,235.0,23560,0.9941273113112611
114,961.0,24132,0.9939851612519268
115,635.0,24292,0.9939454026356791
116,650.0,24380,0.9939235360746178
117,232.0,24420,0.9939135968877093
118,631.0,24511,0.9938909856077547
119,1192.0,25315,0.9936912335704022
120,600.0,25494,0.9936467668770852
121,246.0,25528,0.9936383209144052
122,248.0,25561,0.9936301234310465
