Episode,Reward,Steps,Exploration Rate,Level
1,241,9,0.99999775000225,1-1
2,637,159,0.9999602507850466,1-1
3,235,197,0.9999507512065984,1-1
4,2079,1702,0.9995745904590616,2-1
5,2275,2255,0.999436408806666,2-1
6,458,2315,0.999421417,1-3
7,1047,2433,0.9993919348704612,1-4
8,2242,3150,0.9992128098982748,2-1
9,842,3238,0.9991908274555148,1-4
10,357,3278,0.9991808355959492,1-4
11,597,3412,0.9991473635944274,1-1
12,1185,3548,0.9991133931573148,1-3
13,352,3594,0.9991019034179216,1-4
14,346,3636,0.9990914129016985,1-4
15,601,3704,0.9990744284899216,1-4
16,442,3769,0.9990581936603352,1-3
17,432,3828,0.999043458,1-3
18,694,3911,0.9990227277195464,1-3
19,834,4021,0.9989952549688484,1-4
20,348,4075,0.9989817686222516,1-4
21,578,4241,0.998940311733902,1-1
22,464,4290,0.9989280747885037,1-3
23,830,4392,0.9989026024441828,1-4
24,635,4477,0.9988813759867566,1-4
25,592,4590,0.998853158,1-1
26,2265,5194,0.9987023425240602,2-1
27,2296,5644,0.9985899948161442,2-1
28,604,5715,0.9985722699988264,1-4
29,2189,6699,0.9983266514019964,2-1
30,435,6752,0.9983134236598428,1-3
31,1156,7872,0.9980339349964804,1-1
32,679,7958,0.9980124774948614,1-3
33,437,8017,0.9979977569175408,1-3
34,714,8090,0.9979795436223944,1-3
35,1031,8212,0.9979491057066854,1-4
36,704,8288,0.997930145,1-3
37,1025,8521,0.997872017106208,1-1
38,348,8572,0.9978592943175052,1-4
39,706,8648,0.9978403351686532,1-3
40,1040,8765,0.9978111487620502,1-4
41,437,8817,0.997798177299808,1-3
42,1796,9345,0.9976664766163592,1-1
43,1445,9495,0.99762906482028,1-3
44,2137,10738,0.9973190997129218,2-1
45,2294,11195,0.9972051625003086,2-1
46,353,11244,0.9971929468103604,1-4
47,2246,11943,0.9970187025461372,2-1
48,1359,13448,0.9966436447745368,2-1
49,1049,13555,0.99661698491028,1-4
50,240,13588,0.9966087628530418,1-1
51,1322,13736,0.996571889006372,1-4
52,688,13811,0.9965532034562928,1-3
53,1206,13927,0.996524304,1-4
54,1325,14082,0.9964856892553792,1-4
55,200,14114,0.996477717,1-3
56,699,14195,0.99645753892876,1-3
57,437,14252,0.9964433395082248,1-3
58,639,14396,0.9964074681892012,1-1
59,689,14820,0.9963018545819764,1-1
60,1045,14931,0.996274208,1-4
61,618,15082,0.9962365989394808,1-1
62,2251,15725,0.9960764667571316,2-1
63,439,15777,0.9960635178456112,1-3
64,241,15815,0.9960540552859548,1-1
65,2167,16908,0.9957819206633792,2-1
66,233,16944,0.9957729586653008,1-1
67,370,16992,0.9957610094599968,1-4
68,1359,18497,0.99538642480647,2-1
69,684,18577,0.9953665172745584,1-3
70,2212,19447,0.995150049,2-1
71,936,19549,0.9951246725659174,1-3
72,436,19603,0.9951112384718372,1-3
73,240,19636,0.995103029,1-1
74,200,19673,0.995093824,1-3
75,2213,20536,0.994879156,2-1
76,621,20643,0.9948525431493106,1-1
77,634,20808,0.9948115063231608,1-1
78,440,20867,0.994796832959822,1-3
79,339,20918,0.9947841493794723,1-4
80,691,20996,0.9947647512752652,1-3
81,657,21927,0.9945332466928258,1-1
82,437,21981,0.994519820582942,1-3
83,700,22259,0.994450703848596,1-1
84,463,22307,0.9944387705102568,1-3
85,369,22352,0.9944275831356176,1-4
86,2181,23373,0.9941737878552624,2-1
87,2234,24132,0.9939851612519268,2-1
88,1448,24295,0.9939446571768134,1-4
89,704,24372,0.9939255239239264,1-3
90,432,24434,0.9939101181957726,1-3
91,1217,25229,0.9937125981642664,1-1
92,357,25267,0.9937031579382436,1-4
93,342,25313,0.9936917304162054,1-4
94,339,25365,0.99367881250606,1-4
95,641,25960,0.9935310137570096,1-1
96,598,26040,0.9935111433329528,1-4
97,636,26198,0.9934719004129332,1-1
98,2193,27160,0.9932329991200198,2-1
99,731,27523,0.9931428673038638,1-1
100,340,27572,0.9931307013767332,1-4
101,681,27645,0.9931125769045516,1-3
102,1953,27864,0.9930582054725932,1-4
103,352,27910,0.9930467853674668,1-4
104,2284,28419,0.9929204281878646,2-1
105,938,29082,0.9927558652448296,1-1
106,439,29130,0.992743952244434,1-3
107,954,29729,0.9925952999496014,1-1
108,2253,30390,0.9924312871076946,2-1
109,640,30456,0.992414912124502,1-4
110,2218,31293,0.9922072710033656,2-1
111,2130,32568,0.9918910552957164,2-1
112,675,33410,0.991682284176382,1-1
113,2274,33967,0.991544202015224,2-1
114,436,34027,0.9915293289618808,1-3
115,353,34068,0.9915191658370732,1-4
116,437,34117,0.9915070198001664,1-3
117,440,34171,0.9914936345440748,1-3
118,2221,34993,0.9912899035107616,2-1
119,2307,35385,0.9911927618480758,2-1
120,628,35465,0.9911729381885952,1-1
121,639,36119,0.9910108946403442,1-1
122,2148,37305,0.9907171034300176,2-1
123,843,37387,0.9906967939350292,1-4
124,1359,38892,0.99032411433442,2-1
125,936,39011,0.9902946526265776,1-3
126,759,39182,0.9902523184297798,1-1
127,627,39261,0.9902327611371724,1-4
128,1209,39380,0.9902033021470464,1-4
129,357,39421,0.990193152613946,1-4
130,2320,39750,0.9901117125662204,2-1
131,626,39959,0.990059981,1-1
132,688,40044,0.9900389420205904,1-3
133,2202,40960,0.989812249031836,2-1
134,2237,41704,0.9896281610511928,2-1
135,689,42015,0.9895512204431478,1-1
136,796,42253,0.9894923438897588,1-1
137,436,42316,0.9894767595061196,1-3
138,2133,43581,0.9891638869173548,2-1
139,2271,44152,0.9890226938327248,2-1
140,703,44232,0.9890029135741764,1-3
141,2250,44910,0.9888352917656988,2-1
142,344,44956,0.9888239202238072,1-4
143,705,45043,0.9888024135347372,1-3
144,2174,46098,0.988541651,2-1
145,1457,46247,0.9885048287597794,1-4
146,2170,47323,0.9882389566889695,2-1
147,435,47381,0.9882246273261924,1-3
148,2248,48069,0.988054667286006,2-1
149,2294,48529,0.9879410475183116,2-1
150,940,48631,0.9879158553396488,1-3
151,1319,48783,0.9878783152457142,1-4
152,349,48827,0.9878674486426532,1-4
153,770,48975,0.9878308982186664,1-1
154,637,49128,0.9877931144047012,1-1
155,2196,50078,0.9875585413673286,2-1
156,705,50158,0.98753879039154,1-3
157,235,50193,0.9875301494638468,1-1
158,637,50345,0.9874926240264592,1-1
159,355,50383,0.9874832428899176,1-4
160,439,50436,0.987470159,1-3
161,235,50471,0.9874615184948248,1-1
162,1042,50584,0.9874336230974609,1-4
163,598,50655,0.9874160963040084,1-4
164,431,50723,0.9873993103709516,1-3
165,234,50763,0.987389436,1-1
166,239,50794,0.9873817841865444,1-1
167,2263,51379,0.9872373901416092,2-1
168,2185,52382,0.986989871,2-1
169,346,52431,0.9869777808156374,1-4
170,1387,53936,0.9866065002306832,2-1
171,348,53982,0.9865951543197498,1-4
172,235,54016,0.986586768,1-1
173,434,54074,0.986572463,1-3
174,790,54344,0.9865058714872198,1-1
175,2256,54993,0.986345823873756,2-1
176,2135,56246,0.9860368993935916,2-1
177,603,56354,0.986010276753384,1-1
178,435,56415,0.9859952402094356,1-3
179,628,56504,0.9859733020566586,1-1
180,434,56566,0.9859580195870038,1-3
181,2104,57976,0.9856105305901476,2-1
182,2120,59303,0.9852836084869157,2-1
183,433,59359,0.985269815,1-3
184,607,59441,0.9852496167845294,1-1
185,971,59947,0.9851249905751844,1-1
186,692,60029,0.9851047957173488,1-3
187,348,60076,0.9850932208025532,1-4
188,2277,60618,0.9849597496973036,2-1
189,2131,61889,0.984646828,2-1
190,2095,63340,0.9842897125097968,2-1
191,593,63449,0.9842628909772196,1-1
192,835,63543,0.9842397610681648,1-4
193,601,63614,0.9842222909652673,1-4
194,438,63671,0.9842082658957948,1-3
195,954,63785,0.9841802163564144,1-3
196,938,63891,0.9841541359229844,1-3
197,1845,64511,0.984001604,1-1
198,438,64562,0.9839890578923348,1-3
199,1359,66067,0.9836189016029996,2-1
200,797,66302,0.983561116,1-1
201,200,66342,0.9835512801195674,1-3
202,2207,67206,0.9833388559591144,2-1
203,438,67265,0.9833243518161424,1-3
204,597,67340,0.9833059146550877,1-4
205,1190,67475,0.9832727286363322,1-3
206,2270,68054,0.98313041,2-1
207,221,68101,0.9831188584757,1-1
208,438,68154,0.9831058322354942,1-3
209,601,68235,0.9830859245414664,1-4
210,1201,68375,0.983051517,1-4
211,1359,69880,0.9826817135260036,2-1
212,345,69924,0.982670904085254,1-4
213,444,69982,0.9826566554586644,1-3
214,2247,70675,0.9824864249184492,2-1
215,697,70752,0.9824675122344378,1-3
216,1832,72257,0.982097928319046,2-1
217,705,72340,0.9820775499959092,1-3
218,358,72378,0.9820682203023328,1-4
219,348,72429,0.9820556990107804,1-4
220,603,72499,0.9820385131842732,1-4
221,247,72534,0.9820299203838012,1-1
222,702,72608,0.9820117529960496,1-3
223,351,72653,0.9820007054245884,1-4
224,912,72774,0.9819710003488236,1-3
225,2195,73726,0.981737319,2-1
226,687,75654,0.981264235605968,1-1
227,2222,76440,0.9810714361027164,2-1
228,447,76492,0.9810586822553512,1-3
229,1206,76611,0.9810294961900464,1-4
230,2142,77828,0.9807310633298854,2-1
231,1763,78012,0.9806859507329244,1-4
232,239,78044,0.9806781052757187,1-1
233,2183,79055,0.9804302701750768,2-1
234,998,79429,0.9803386042187948,1-1
235,2295,79882,0.9802275871444346,2-1
236,938,79992,0.98020063125306,1-3
237,435,80042,0.980188378820214,1-3
238,837,81220,0.979899756,1-1
239,438,81277,0.9798857923345804,1-3
240,227,81323,0.979874524,1-1
241,632,81412,0.979852722,1-1
242,697,81496,0.979832145049344,1-3
243,436,81550,0.9798189174030176,1-3
